timestamp,bot_on,player
51857,1.0,5
51858,1.0,5
51859,1.0,5
51860,1.0,5
51861,1.0,5
51862,1.0,5
51863,1.0,5
51864,1.0,5
51865,1.0,5
51866,1.0,5
51867,1.0,5
51868,1.0,5
51869,1.0,5
51870,1.0,5
51871,1.0,5
51872,1.0,5
51873,1.0,5
51874,1.0,5
51875,1.0,5
51876,1.0,5
51877,1.0,5
51878,1.0,5
51879,1.0,5
51880,1.0,5
51881,1.0,5
51882,1.0,5
51883,1.0,5
51884,1.0,5
51885,1.0,5
51886,1.0,5
51887,1.0,5
51888,1.0,5
51889,1.0,5
51890,1.0,5
51891,1.0,5
51892,1.0,5
51893,1.0,5
51894,1.0,5
51895,1.0,5
51896,1.0,5
51897,1.0,5
51898,1.0,5
51899,1.0,5
51900,1.0,5
51901,1.0,5
51902,1.0,5
51903,1.0,5
51904,1.0,5
51905,1.0,5
51906,1.0,5
51907,1.0,5
51908,1.0,5
51909,1.0,5
51910,1.0,5
51911,1.0,5
51912,1.0,5
51913,1.0,5
51914,1.0,5
51915,1.0,5
51916,1.0,5
51917,1.0,5
51918,1.0,5
51919,1.0,5
51920,1.0,5
51921,1.0,5
51922,1.0,5
51923,1.0,5
51924,1.0,5
51925,1.0,5
51926,1.0,5
51927,1.0,5
51928,1.0,5
51929,1.0,5
51930,1.0,5
51931,1.0,5
51932,1.0,5
51933,1.0,5
51934,1.0,5
51935,1.0,5
51936,1.0,5
51937,1.0,5
51938,1.0,5
51939,1.0,5
51940,1.0,5
51941,1.0,5
51942,1.0,5
51943,1.0,5
51944,1.0,5
51945,1.0,5
51946,1.0,5
51947,1.0,5
51948,1.0,5
51949,1.0,5
51950,1.0,5
51951,1.0,5
51952,1.0,5
51953,1.0,5
51954,1.0,5
51955,1.0,5
51956,1.0,5
51957,1.0,5
51958,1.0,5
51959,1.0,5
51960,1.0,5
51961,1.0,5
51962,1.0,5
51963,1.0,5
51964,1.0,5
51965,1.0,5
51966,1.0,5
51967,1.0,5
51968,1.0,5
51969,1.0,5
51970,1.0,5
51971,1.0,5
51972,1.0,5
51973,1.0,5
51974,1.0,5
51975,1.0,5
51976,1.0,5
51977,1.0,5
51978,1.0,5
51979,1.0,5
51980,1.0,5
51981,1.0,5
51982,1.0,5
51983,1.0,5
51984,1.0,5
51985,1.0,5
51986,1.0,5
51987,1.0,5
51988,1.0,5
51989,1.0,5
51990,1.0,5
51991,1.0,5
51992,1.0,5
51993,1.0,5
51994,1.0,5
51995,1.0,5
51996,1.0,5
51997,1.0,5
51998,1.0,5
51999,1.0,5
52000,1.0,5
52001,1.0,5
52002,1.0,5
52003,1.0,5
52004,1.0,5
52005,1.0,5
52006,1.0,5
52007,1.0,5
52008,1.0,5
52009,1.0,5
52010,1.0,5
52011,1.0,5
52012,1.0,5
52013,1.0,5
52014,1.0,5
52015,1.0,5
52016,1.0,5
52017,1.0,5
52018,1.0,5
52019,1.0,5
52020,1.0,5
52021,1.0,5
52022,1.0,5
52023,1.0,5
52024,1.0,5
52025,1.0,5
52026,1.0,5
52027,1.0,5
52028,1.0,5
52029,1.0,5
52030,1.0,5
52031,1.0,5
52032,1.0,5
52033,1.0,5
52034,1.0,5
52035,1.0,5
52036,1.0,5
52037,1.0,5
52038,1.0,5
52039,1.0,5
52040,1.0,5
